고유번호,연도,연차,시작연차,종료연차,"주요 업무/프로젝트
예시: OO은행 차세대 시스템 구축",프로젝트 규모 (대략),"수행역할
예시: PM, 분석/설계,개발자, PL(사업관리)",활용 Skill set 1,활용 Skill set 2,활용 Skill set 3,활용 Skill set 4,"Industry/Domain
예시: 금융, 통신, 제조 등",커리어 형성에 큰 영향을 받은 업무나 시기,큰 영향을 받은 업무/시기에 대한 설명
EMP-202827,2001,7,1,10,화학회사 전산시스템운영 및 통신사그룹 전산 시스템 이전 통합,,"System Prgrammer, unix Administrator, DB2 DBA",S-12,S-13,,,SK그룹,,
EMP-202827,2002,8,1,10,화학회사 전산시스템운영 및 통신사그룹 전산 시스템 이전 통합,,"System Prgrammer, unix Administrator, DB2 DBA",S-12,S-13,,,SK그룹,,
EMP-202827,2003,9,1,10,화학회사 전산시스템운영 및 통신사그룹 전산 시스템 이전 통합,,"System Prgrammer, unix Administrator, DB2 DBA",S-12,S-13,,,SK그룹,,
EMP-202827,2004,10,1,10,화학회사 전산시스템운영 및 통신사그룹 전산 시스템 이전 통합,,"System Prgrammer, unix Administrator, DB2 DBA",S-12,S-13,,,SK그룹,,
EMP-202827,2005,11,10,12,eSCM 품질관리 도입 사업,,PL,S-24,S-30,,,SK그룹,,
EMP-202827,2006,12,10,12,eSCM 품질관리 도입 사업,,PL,S-24,S-30,,,SK그룹,,
EMP-202827,2007,13,12,13,제1금융권 ITSM 1차 사업,(중형) 50억 이상 ~ 100억 미만,PL,S-24,S-30,,,금융,,
EMP-202827,2007,13,13,13,제1금융권 ITSM 2차 사업,(중소형) 20억 이상~50억 미만,PL,S-24,S-30,,,금융,,
EMP-202827,2009,15,15,15,제1금융권 Helpdesk 구축사업,(중소형) 20억 이상~50억 미만,PM,S-24,,,,금융,,
EMP-202827,2009,15,15,15,제1금융권 ITSM 4차사업,(중소형) 20억 이상~50억 미만,PM,S-24,,,,금융,,
EMP-202827,2010,16,16,17,정부기관 3-1 자원통합사업,(대형) 100억 이상 ~ 500억 미만,PM,P-1a,,,,공공,,
EMP-202827,2011,17,17,18,정부기관 클라우드 ISP 사업,(소형) 20억 미만,PM,P-1,,,,공공,,
EMP-202827,2012,18,18,18,정부기관 2-3 자원통합사업,(대형) 100억 이상 ~ 500억 미만,PM,P-1a,,,,공공,,
EMP-202827,2014,20,20,20,정부기관 3.0 클라우드 사업,(중소형) 20억 이상~50억 미만,PM,P-1,,,,공공,,
EMP-202827,2014,20,20,20,정부기관 3.0 클라우드 사업,(중소형) 20억 이상~50억 미만,PM,P-1,,,,공공,,
EMP-202827,2016,22,22,23,지방정부 클라우드 설계,(중소형) 20억 이상~50억 미만,PM,P-1,,,,공공,,
EMP-202827,2017,23,23,24,제1금융권 데이터센터 클라우드 설계,(소형) 20억 미만,PM,P-1,,,,금융,,
EMP-202827,2018,24,24,25,지방정부 클라우드 개발검증시스템 구축,(중소형) 20억 이상~50억 미만,PM,P-1,,,,공공,,
EMP-202827,2019,25,24,25,지방정부 클라우드 개발검증시스템 구축,(중소형) 20억 이상~50억 미만,PM,P-1,,,,공공,,
EMP-202827,2020,26,26,28,제1금융권 그룹 공용클라우드 구축,(대형) 100억 이상 ~ 500억 미만,PM,P-1a,,,,금융,,
EMP-202827,2021,27,26,28,제1금융권 그룹 공용클라우드 구축,(대형) 100억 이상 ~ 500억 미만,PM,P-1a,,,,금융,,
EMP-202827,2022,28,26,28,제1금융권 그룹 공용클라우드 구축,(대형) 100억 이상 ~ 500억 미만,PM,P-1a,,,,금융,,
EMP-202827,2024,30,30,31,제1금융권 경기IT센터 구축 및 이전사업,(대형) 100억 이상 ~ 500억 미만,PM,P-1a,,,,금융,,
EMP-202827,2025,31,30,31,제1금융권 경기IT센터 구축 및 이전사업,(대형) 100억 이상 ~ 500억 미만,PM,P-1a,,,,금융,,
EMP-198261,1995,1,1,5,종합상사 시스템 운영,,"(Mainframe OS/390, DB2) 운영자",S-12,,,,유통/.서비스,,
EMP-198261,1996,2,1,5,종합상사 시스템 운영,,"(Mainframe OS/390, DB2) 운영자",S-12,,,,유통/.서비스,,
EMP-198261,1997,3,1,5,종합상사 시스템 운영,,"(Mainframe OS/390, DB2) 운영자",S-12,,,,유통/.서비스,,
EMP-198261,1998,4,1,5,종합상사 시스템 운영,,"(Mainframe OS/390, DB2) 운영자",S-12,,,,유통/.서비스,,
EMP-198261,1999,5,1,5,종합상사 시스템 운영,,"(Mainframe OS/390, DB2) 운영자",S-12,,,,유통/.서비스,,
EMP-198261,2001,7,7,7,제1금융권 ER 구축,(중소형) 20억 이상~50억 미만,DBA,S-13,,,,금융,,
EMP-198261,2001,7,7,7,제1금융권 ER 구축,(중소형) 20억 이상~50억 미만,DBA,S-13,,,,금융,,
EMP-198261,2002,8,8,8,에너지화학기업 ERP 구축,(대형) 100억 이상 ~ 500억 미만,DBA,S-13,,,,제조,,
EMP-198261,2007,13,13,14,항공사 ITO 제안 및 협상,(초대형) 500억,사업 개발 및 제안PM,,S-30,,,제조,,
EMP-198261,2008,14,13,14,항공사 ITO 제안 및 협상,(초대형) 500억,사업 개발 및 제안PM,,S-30,,,제조,,
EMP-198261,2009,15,14,15,금융기관 1기 ITO 제안 및 협상,(초대형) 500억,사업개발 및 제안PM,,S-30,,,금융,,
EMP-198261,2009,15,15,15,제2금융권 전사콜인프라 개선 제안 및 협상,(대형) 100억 이상 ~ 500억 미만,사업개발 및 제안PM,,S-30,,,금융,,
EMP-198261,2021,27,27,27,유통그룹 2기 ITO 제안 및 협상,(초대형) 500억,제안PM 및 협상,,S-30,,,유통/서비스,,2
EMP-198261,2023,29,29,29,제1금융권 센터 이전 컨설팅 제안,(소형) 20억 미만,제안PM,P-1,S-30,,,금융,,
EMP-198261,2024,30,29,30,금융기관 2기 ITO 수행,(초대형) 500억,수행PM,P-1a,,,,금융,,
EMP-198261,2025,31,30,31,금융기관 3기 ITO 제안 및 수행,(초대형) 500억,수행PM,P-1a,,,,금융,,
EMP-100001,2010,1,1,3,"제1금융 서버/스토리지 구축, 운영",(중소형) 20억 이상~50억 미만,서버/스토리지 기술지원,S-12,,,,제1금융,TRUE,"1금융권에서 서버/스토리지 구축, 기술지원을 하면서 OS 및 인프라 경험 및 IT 기초 지식을 습득."
EMP-100001,2011,2,1,3,"제1금융 서버/스토리지 구축, 운영",(중소형) 20억 이상~50억 미만,서버/스토리지 기술지원,S-12,,,,제1금융,TRUE,"1금융권에서 서버/스토리지 구축, 기술지원을 하면서 OS 및 인프라 경험 및 IT 기초 지식을 습득."
EMP-100001,2012,3,1,3,"제1금융 서버/스토리지 구축, 운영",(중소형) 20억 이상~50억 미만,서버/스토리지 기술지원,S-12,,,,제1금융,TRUE,"1금융권에서 서버/스토리지 구축, 기술지원을 하면서 OS 및 인프라 경험 및 IT 기초 지식을 습득."
EMP-100001,2013,4,4,5,"공공기관 스토리지 구축, 기술지원",(중소형) 20억 이상~50억 미만,스토리지 기술지원,S-12,,,,공공,FALSE,
EMP-100001,2014,5,4,5,"공공기관 스토리지 구축, 기술지원",(중소형) 20억 이상~50억 미만,스토리지 기술지원,S-12,,,,공공,FALSE,
EMP-100001,2015,6,6,6,제2금융 IDC 이전 및 통계인프라 시스템 구축,(중소형) 20억 이상~50억 미만,스토리지 기술지원,S-12,,,,제2금융,TRUE,"담당 스토리지 시스템에 대한 IDC 이전을 초기 계획, 실행을 주도적으로 진행함."
EMP-100001,2016,7,7,7,제2금융  노후화 스토리지 개선 사업,(중소형) 20억 이상~50억 미만,스토리지 기술지원,S-12,,,,제2금융,FALSE,
EMP-100001,2017,8,8,9,제2금융 차세대 프로젝트 & IDC 이전,(중형) 50억 이상 ~ 100억 미만,스토리지 TA / 기술지원,S-18,S-12,,,제2금융,TRUE,"차세대 스토리지 설계, 구축, IDC 이전 수행하면서 대규모, 장기 프로젝트를 경험함."
EMP-100001,2018,9,8,9,제2금융 차세대 프로젝트 & IDC 이전,(중형) 50억 이상 ~ 100억 미만,스토리지 TA / 기술지원,S-18,S-12,,,제2금융,TRUE,"차세대 스토리지 설계, 구축, IDC 이전 수행하면서 대규모, 장기 프로젝트를 경험함."
EMP-100001,2019,10,10,10,정부 데이터센터 2015년 통합 사업,(중형) 50억 이상 ~ 100억 미만,스토리지 TA / 기술지원,S-18,S-12,,,공공,FALSE,
EMP-100001,2020,11,10,11,제2금융  IDC 이전,(중형) 50억 이상 ~ 100억 미만,스토리지 TA / 기술지원,S-18,S-12,,,제2금융,FALSE,
EMP-100001,2021,12,10,12,제1금융 차세대 프로젝트,(대형) 100억 이상 ~ 500억 미만,스토리지 TA / 기술지원,S-18,S-12,,,제1금융,TRUE,1금융권 고객의 다양하고 쉽지 않은 요구사항을 경험하고 처리함.
EMP-100001,2022,13,13,14,"SK매직/SK바이오텍/SK바이오팜/SK임업 Cloud, On-prem 구축/운영",(중소형) 20억 이상~50억 미만,TA / CA / 운영,S-18,S-12,,,(제조) 대내 Process,TRUE,"SK AX를 입사하면서 기존 스토리지 업무가 아닌 AWS, IBM Cloud, On-premise TA/구축/운영 등의 다양한 업무을 배정받음. 새로운 업무로 커리어 전환을 하게 되는 시기임."
EMP-100001,2023,14,13,14,"SK매직/SK바이오텍/SK바이오팜/SK임업 Cloud, On-prem 구축/운영",(중소형) 20억 이상~50억 미만,TA / CA / 운영,S-18,S-12,,,(제조) 대내 Process,TRUE,"SK AX를 입사하면서 기존 스토리지 업무가 아닌 AWS, IBM Cloud, On-premise TA/구축/운영 등의 다양한 업무을 배정받음. 새로운 업무로 커리어 전환을 하게 되는 시기임."
EMP-100001,2023,14,14,14,에너지 Cloud 백업/소산 프로젝트,(소형) 20억 미만,CA / 구축,S-18,S-12,,,(제조) 대내 Process,FALSE,
EMP-100001,2024,15,15,15,에너지 Cloud 백업/소산 프로젝트,(소형) 20억 미만,CA / 구축,S-18,S-12,,,(제조) 대내 Process,FALSE,
EMP-100001,2024,15,15,15,부산정관에너지 태양광 O&M 프로젝트,(소형) 20억 미만,CA / 구축,S-18,S-12,,,(제조) 대내 Process,TRUE,"AWS 네트워크 구성, 연계 및 보안 구성을 주도적으로 수행함"
EMP-100001,2024,15,15,15,SKT MNO AI 프로젝트,(대형) 100억 이상 ~ 500억 미만,CA / 구축,S-18,S-12,,,통신,TRUE,AWS에서 기존 IaaS위주의 구축을 경험했으나 SKT프로젝트에서 PaaS 및 Microservice의 구축을 경험하게 됨
EMP-100001,2024,15,15,15,유통 브랜드통합관리시스템 프로젝트,(중형) 50억 이상 ~ 100억 미만,CA,S-18,,,,유통/물류/서비스,TRUE,AWS 거버넌스 수립을 경험함
EMP-100001,2025,16,16,16,유통 차세대 프로젝트,(중소형) 20억 이상~50억 미만,CA / 구축,S-18,S-12,,,유통/물류/서비스,TRUE,"CDN, 3rd Party WAF 연동 등 웹서비스 관련 AWS 인프라 구성 및 IaC(테라폼)을 구축"
EMP-100001,2025,16,16,16,제2금융 MSP,(중소형) 20억 이상~50억 미만,CA / 구축 / 운영,S-18,S-12,,,제2금융,TRUE,"AWS Control Tower와 가드레일 그리고 3rd party 방화벽 팔로알토를 운영함. Git, GitHub, 테라폼 엔터프라이즈를 사용하면서 IaC로 AWS 인프라를 구축, 운영하고 CI/CD 파이프라인을 활용"
EMP-100002,2007,1,1,1,제조 MPA  System Upgrade,(소형) 20억 미만,MPA 개발,S-2,S-6,,,(제조) 대외,,
EMP-100002,2008,2,2,4,제조  RMS System 구축 및 Upgrade ,(중소형) 20억 이상~50억 미만,RMS 개발 PL,S-3,S-7,,,(제조) 대외,,
EMP-100002,2009,3,2,4,제조  RMS System 구축 및 Upgrade ,(중소형) 20억 이상~50억 미만,RMS 개발 PL,S-3,S-7,,,(제조) 대외,,
EMP-100002,2010,4,2,4,제조  RMS System 구축 및 Upgrade ,(중소형) 20억 이상~50억 미만,RMS 개발 PL,S-3,S-7,,,(제조) 대외,,
EMP-100002,2011,5,5,5,제조 Battery R2R System 구축,(소형) 20억 미만,R2R 개발,S-4,S-8,,,(제조) 대외,,
EMP-100002,2012,6,6,10,반도체 RMS 2.0 System 구축,(중소형) 20억 이상~50억 미만,RMS 개발 PM,S-5,S-9,,,(제조) 대외,,
EMP-100002,2013,7,6,10,반도체 RMS 2.0 System 구축,(중소형) 20억 이상~50억 미만,RMS 개발 PM,S-5,S-9,,,(제조) 대외,,
EMP-100002,2014,8,6,10,반도체 RMS 2.0 System 구축,(중소형) 20억 이상~50억 미만,RMS 개발 PM,S-5,S-9,,,(제조) 대외,,
EMP-100002,2015,9,6,10,반도체 RMS 2.0 System 구축,(중소형) 20억 이상~50억 미만,RMS 개발 PM,S-5,S-9,,,(제조) 대외,,
EMP-100002,2016,10,6,10,반도체 RMS 2.0 System 구축,(중소형) 20억 이상~50억 미만,RMS 개발 PM,S-5,S-9,,,(제조) 대외,,
EMP-100002,2017,11,11,12,반도체 Optimus Edge 제품 개발,(소형) 20억 미만,개발 PM,S-6,S-10,,,(제조) 대외,,
EMP-100002,2018,12,11,12,Optimus Edge 제품 개발,(소형) 20억 미만,개발 PM,S-6,S-10,,,(제조) 대외,,
EMP-100002,2019,13,13,14,반도체 Wire Bonder Optimus Edge 적용 ,(소형) 20억 미만,PM,S-7,S-11,,,(제조) 대외,,
EMP-100002,2020,14,13,14,반도체 Wire Bonder Optimus Edge 적용 ,(소형) 20억 미만,PM,S-7,S-11,,,(제조) 대외,,
EMP-100002,2021,15,15,16,배터리 고장예측 Project,(소형) 20억 미만,PL,S-8,S-12,,,(제조) 대외,,
EMP-100002,2022,16,15,16,배터리 고장예측 Project,(소형) 20억 미만,PL,S-8,S-12,,,(제조) 대외,,
EMP-100002,2023,17,17,18,배터리 Wire 단선감지 Solution 적용 Project,(소형) 20억 미만,PL,S-9,S-13,,,(제조) 대외,,
EMP-100002,2024,18,17,18,배터리 Wire 단선감지 Solution 적용 Project,(소형) 20억 미만,PL,S-9,S-13,,,(제조) 대외,,
EMP-100002,2025,19,19,19,2차전지  Smart Machine Stack 적용 Project,(소형) 20억 미만,PM,S-10,S-14,,,(제조) 대외,,
EMP-100003,2015,1,1,6,제조 시스템 운영,,"시스템 어드민, DB 어드민",S-12,S-13,,,,TRUE,기업 인프라운영 및 관리요소(서버/네트워크/DBMS/백업/관제시스템 등)에 대한 실전적 이해 및 Skill 함양
EMP-100003,2016,2,1,6,제조 시스템 운영,,"시스템 어드민, DB 어드민",S-12,S-13,,,,TRUE,기업 인프라운영 및 관리요소(서버/네트워크/DBMS/백업/관제시스템 등)에 대한 실전적 이해 및 Skill 함양
EMP-100003,2017,3,1,6,제조 시스템 운영,,"시스템 어드민, DB 어드민",S-12,S-13,,,,TRUE,기업 인프라운영 및 관리요소(서버/네트워크/DBMS/백업/관제시스템 등)에 대한 실전적 이해 및 Skill 함양
EMP-100003,2018,4,1,6,제조 시스템 운영,,"시스템 어드민, DB 어드민",S-12,S-13,,,,TRUE,기업 인프라운영 및 관리요소(서버/네트워크/DBMS/백업/관제시스템 등)에 대한 실전적 이해 및 Skill 함양
EMP-100003,2019,5,1,6,제조 시스템 운영,,"시스템 어드민, DB 어드민",S-12,S-13,,,,TRUE,기업 인프라운영 및 관리요소(서버/네트워크/DBMS/백업/관제시스템 등)에 대한 실전적 이해 및 Skill 함양
EMP-100003,2020,6,1,6,제조 시스템 운영,,"시스템 어드민, DB 어드민",S-12,S-13,,,,TRUE,기업 인프라운영 및 관리요소(서버/네트워크/DBMS/백업/관제시스템 등)에 대한 실전적 이해 및 Skill 함양
EMP-100003,2021,7,7,7,제조  ITSM  구축,(중소형) 20억 이상~50억 미만,PM,P-4,S-18,,,,TRUE,IT인프라관리 Defacto 표준인 ITIL Best Practice 의 기업에 대한 적용 및 활요에 대한 이해
EMP-100003,2022,8,8,8,제2금융 ITSM  구축,(중소형) 20억 이상~50억 미만,PM,P-4,S-18,,,,TRUE,IT인프라관리 Defacto 표준인 ITIL Best Practice 의 기업에 대한 적용 및 활요에 대한 이해
EMP-100003,2023,9,9,9,서비스 ITSM 구축,(중소형) 20억 이상~50억 미만,PM,P-4,S-18,,,,TRUE,IT인프라관리 Defacto 표준인 ITIL Best Practice 의 기업에 대한 적용 및 활요에 대한 이해
EMP-100003,2024,10,10,10,정부 제3차 통합자원시스템 구축,(중소형) 20억 이상~50억 미만,TA,S-18,S-12,S-13,,,FALSE,
EMP-100003,2025,11,11,11,제1금융 ITSM 구축,(중소형) 20억 이상~50억 미만,PL,P-4,,,,,FALSE,
EMP-100004,2008,1,1,1,"그룹 VAN 시스템 구축, 운영",(중소형) 20억 이상~50억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,"VAN 사업 내제화 기술 확보
- 따로또같이 장려상('07/회장포상)
"
EMP-100004,2009,2,2,2,그룹 Backbone Network 고도화,(소형) 20억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,Legacy 기반 Network 기술에서 기간통신사업자 Level Network 기술을 습득하는 계기가 되었음
EMP-100004,2010,3,3,3,IP version 6 테스트망 구축,(소형) 20억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,FALSE,
EMP-100004,2011,4,4,4,제2금융  대덕 Data Center 이전,(중소형) 20억 이상~50억 미만,"설계, 구축, 운영",S-12,,,,통신,FALSE,
EMP-100004,2012,5,5,7,그룹  Backbone Network 고도화,(중소형) 20억 이상~50억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,Global 기간 통신 사업자 Backbone Netowkr 구성을 파악하는 기회가 되었음
EMP-100004,2013,6,5,7,그룹  Backbone Network 고도화,(중소형) 20억 이상~50억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,Global 기간 통신 사업자 Backbone Netowkr 구성을 파악하는 기회가 되었음
EMP-100004,2014,7,5,7,그룹  Backbone Network 고도화,(중소형) 20억 이상~50억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,Global 기간 통신 사업자 Backbone Netowkr 구성을 파악하는 기회가 되었음
EMP-100004,2015,8,8,8,Nework 망 구조 개선을 통한 회선 비용 효율화(OI),(소형) 20억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,
EMP-100004,2016,9,9,9,글로벌 NIN(GovNet) 프로젝트 수행,(대형) 100억 이상 ~ 500억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,"SK-Net 구축, 운영 기술을 기반으로 방글라데시 국가망 설계 및 구축을 하는 프로젝트를 성공적으로 수행함"
EMP-100004,2017,10,10,10,통신 4G LTE 망 활용 LTE VPN 서비스 개발 ,(중소형) 20억 이상~50억 미만,"설계, 구축, 운영",S-12,,,,통신,FALSE,유무선 통합 Nework 을 구축함으로써 장애 상황에서 서비스 단절이 없는 SKT 영업전산망을 구축함
EMP-100004,2018,11,11,11,DDoS 공격 방어시스템 구축 ,(소형) 20억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,
EMP-100004,2019,12,12,12,클라우드 허브 시스템 구축,(소형) 20억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,
EMP-100004,2020,13,13,13,SDN(Software Defined Network) 적용 망 최적화,(소형) 20억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,
EMP-100004,2021,14,14,14,Cloud 활용 Global Connectivity 서비스 구축,(소형) 20억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,클라우드 망을 전용회선 대체제로 전환 하여 고객 통신 비용을 절감함
EMP-100004,2022,15,15,15,멀티 클라우드 기반 Global Connectivity 서비스 확장,(소형) 20억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,TRUE,멀티 클라우드 망 활용 기간통신 사업자 국제 Network 회선을 대체 함
EMP-100004,2023,16,16,16,인터넷 Backbone 망 개선,(소형) 20억 미만,"설계, 구축, 운영",S-12,P-3,,,통신,FALSE,ISP 망 분리(Transit/ Peering)를 통한 인터넷 통신비용 절감
EMP-100004,2024,17,17,17,Data Center 기반 Newtork 사업 모델 걔발,(중형) 50억 이상 ~ 100억 미만,"설계, 구축, 운영",S-12,P-3,,,,TRUE,
EMP-100004,2025,18,18,18,NOC 이전,(중소형) 20억 이상~50억 미만,"설계, 구축, 운영",S-12,P-3,,,,TRUE,
EMP-100005,2013,1,1,4,제조(의류/유통) ERP 구축 프로젝트,(중형) 50억 이상 ~ 100억 미만,PP모듈 컨설턴트,S-8,,,,(제조) 대외,TRUE,"본사/3개 회의 법인 구축 경험
MES 연계시스템 구축
대량 데이터 처리 및 안정화 지원"
EMP-100005,2014,2,1,4,제조(의류/유통) ERP 구축 프로젝트,(중형) 50억 이상 ~ 100억 미만,PP모듈 컨설턴트,S-8,,,,(제조) 대외,TRUE,"본사/3개 회의 법인 구축 경험
MES 연계시스템 구축
대량 데이터 처리 및 안정화 지원"
EMP-100005,2015,3,1,4,제조(의류/유통) ERP 구축 프로젝트,(중형) 50억 이상 ~ 100억 미만,PP모듈 컨설턴트,S-8,,,,(제조) 대외,TRUE,"본사/3개 회의 법인 구축 경험
MES 연계시스템 구축
대량 데이터 처리 및 안정화 지원"
EMP-100005,2016,4,1,4,제조(의류/유통) ERP 구축 프로젝트,(중형) 50억 이상 ~ 100억 미만,PP모듈 컨설턴트,S-8,,,,(제조) 대외,TRUE,"본사/3개 회의 법인 구축 경험
MES 연계시스템 구축
대량 데이터 처리 및 안정화 지원"
